sample_id,image_path,Sampling_Date,State,Species,Pre_GSHH_NDVI,Height_Ave_cm,Dry_Clover_g,Dry_Dead_g,Dry_Green_g,Dry_Total_g,GDM_g
ID1176292407,train/ID1176292407.jpg,2015/6/26,Tas,Ryegrass_Clover,0.5,3.0,0.1308,16.7365,9.022,25.8893,9.1528
ID1182523622,train/ID1182523622.jpg,2015/6/29,Tas,WhiteClover,0.48,2.0,3.1059,14.7193,0.6752,18.5004,3.7811
ID1183807388,train/ID1183807388.jpg,2015/7/1,Tas,Ryegrass,0.7,5.0,0.0,20.9156,20.9156,41.8312,20.9156
ID1193692654,train/ID1193692654.jpg,2015/9/11,Tas,Ryegrass,0.69,3.1667,0.2727,6.3317,13.4232,20.0276,13.6959
ID1199150612,train/ID1199150612.jpg,2015/11/10,Tas,Ryegrass_Clover,0.62,5.5,0.3602,40.7019,27.0146,68.0767,27.3748
ID1208644039,train/ID1208644039.jpg,2015/7/1,Vic,Phalaris_Clover,0.79,5.0,1.55,7.75,31.0,40.3,32.55
ID1211362607,train/ID1211362607.jpg,2015/2/24,NSW,Ryegrass,0.58,7.0,0.0,1.3446,66.5554,67.9,66.5554
ID121331988,train/ID121331988.jpg,2015/5/7,NSW,Fescue,0.75,8.0,0.0,21.05,63.15,84.2,63.15
ID1215977190,train/ID1215977190.jpg,2015/5/18,Tas,Ryegrass,0.74,5.0,0.4068,24.8123,30.1002,55.3193,30.507
ID1217108125,train/ID1217108125.jpg,2015/6/29,Tas,WhiteClover,0.62,2.0,5.9027,8.0594,0.6811,14.6432,6.5838
ID1237349078,train/ID1237349078.jpg,2015/10/13,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.38,2.5,3.189,26.221,9.39,38.8,12.579
ID12390962,train/ID12390962.jpg,2015/5/18,Tas,Ryegrass,0.56,5.0,0.0,15.2,14.0,29.2,14.0
ID1244346858,train/ID1244346858.jpg,2015/10/6,NSW,Fescue,0.45,12.3333,0.0,30.9343,49.2657,80.2,49.2657
ID1249094008,train/ID1249094008.jpg,2015/6/26,Vic,Ryegrass,0.71,4.0,0.0,16.3603,4.5809,20.9412,4.5809
ID1251029854,train/ID1251029854.jpg,2015/5/7,NSW,Fescue,0.55,5.0,0.0,22.0875,36.8125,58.9,36.8125
ID1254829053,train/ID1254829053.jpg,2015/6/26,Vic,Ryegrass,0.69,4.5,0.0,10.2162,4.2568,14.473,4.2568
ID1268934251,train/ID1268934251.jpg,2015/10/13,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.42,3.3,0.0,24.7869,17.2131,42.0,17.2131
ID1275072698,train/ID1275072698.jpg,2015/1/15,NSW,Lucerne,0.74,42.0,0.0,2.5,62.0,64.5,62.0
ID1277756619,train/ID1277756619.jpg,2015/7/1,Tas,Ryegrass,0.4,3.0,0.0,3.2,6.0,9.2,6.0
ID1291116815,train/ID1291116815.jpg,2015/7/2,Vic,Ryegrass_Clover,0.76,3.0,1.24,3.72,19.84,24.8,21.08
ID1294770420,train/ID1294770420.jpg,2015/11/9,Tas,Ryegrass_Clover,0.59,3.3333,17.3814,36.1534,14.6004,68.1352,31.9818
ID1314135397,train/ID1314135397.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.75,6.0,0.0,16.6678,28.0322,44.7,28.0322
ID13162390,train/ID13162390.jpg,2015/8/14,Vic,Ryegrass_Clover,0.74,3.0,2.8667,2.8667,20.0667,25.8,22.9333
ID1337107565,train/ID1337107565.jpg,2015/8/21,WA,Clover,0.39,1.0,10.04,0.0,0.0,10.04,10.04
ID1343327476,train/ID1343327476.jpg,2015/8/14,Vic,Phalaris_Clover,0.71,5.0,3.1429,3.1429,37.7143,44.0,40.8571
ID1345375788,train/ID1345375788.jpg,2015/6/26,Tas,Ryegrass_Clover,0.6,3.0,2.3762,7.7226,8.7127,18.8115,11.0889
ID135365668,train/ID135365668.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.74,3.0,2.4,1.8667,17.3333,21.6,19.7333
ID1354190372,train/ID1354190372.jpg,2015/11/10,Tas,Ryegrass_Clover,0.67,3.0,11.2565,6.5255,10.6039,28.3859,21.8604
ID1357758282,train/ID1357758282.jpg,2015/1/15,NSW,Lucerne,0.77,62.0,0.0,4.8,107.3,112.1,107.3
ID1357768767,train/ID1357768767.jpg,2015/2/25,NSW,Fescue,0.68,15.0,0.0,5.4497,104.1503,109.6,104.1503
ID1370004842,train/ID1370004842.jpg,2015/10/6,NSW,Fescue,0.55,9.6667,0.0,21.9986,55.8014,77.8,55.8014
ID1374789439,train/ID1374789439.jpg,2015/7/1,Vic,Phalaris_Clover,0.74,4.0,1.3556,1.3556,21.6889,24.4,23.0444
ID1385921939,train/ID1385921939.jpg,2015/5/7,NSW,Lucerne,0.79,32.0,0.0,6.8243,43.6757,50.5,43.6757
ID1386202352,train/ID1386202352.jpg,2015/5/19,Tas,Ryegrass_Clover,0.86,5.0,0.0,12.1549,35.0834,47.2383,35.0834
ID1395011773,train/ID1395011773.jpg,2015/10/13,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.52,3.2,10.0895,11.9667,13.8438,35.9,23.9333
ID1403078396,train/ID1403078396.jpg,2015/9/4,Tas,Clover,0.42,2.3333,5.3,8.3,1.5,15.1,6.8
ID1403107574,train/ID1403107574.jpg,2015/8/21,WA,Clover,0.54,1.0,22.69,0.0,0.0,22.69,22.69
ID1411613934,train/ID1411613934.jpg,2015/10/13,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.49,3.3,6.8937,17.8286,16.8777,41.6,23.7714
ID141370843,train/ID141370843.jpg,2015/8/14,Vic,Ryegrass_Clover,0.72,4.0,5.6182,5.6182,19.6636,30.9,25.2818
ID1413758094,train/ID1413758094.jpg,2015/9/4,Tas,Ryegrass_Clover,0.54,5.0,0.8746,46.0532,17.5601,64.4879,18.4347
ID1414371018,train/ID1414371018.jpg,2015/11/10,Tas,Ryegrass_Clover,0.72,3.1667,14.7281,6.1901,12.3801,33.2982,27.1082
ID1415329644,train/ID1415329644.jpg,2015/4/1,NSW,Lucerne,0.83,38.0,0.0,0.0,63.3,63.3,63.3
ID1421714468,train/ID1421714468.jpg,2015/9/4,Tas,Ryegrass_Clover,0.85,4.5,0.0,36.581,26.6001,63.1811,26.6
ID142751858,train/ID142751858.jpg,2015/9/29,Vic,Ryegrass_Clover,0.81,5.0,15.3953,2.417,33.2077,51.02,48.603
ID1428837636,train/ID1428837636.jpg,2015/6/29,Tas,WhiteClover,0.7,3.0,10.1663,19.1366,3.8871,33.1901,14.0535
ID1437386574,train/ID1437386574.jpg,2015/9/30,Vic,Phalaris_Clover,0.75,6.0,5.0001,3.7122,44.1677,52.88,49.1678
ID1444674500,train/ID1444674500.jpg,2015/7/8,WA,Clover,0.43,1.0,11.64,0.0,3.5,15.14,15.14
ID1450399782,train/ID1450399782.jpg,2015/9/11,Tas,Ryegrass,0.86,5.8333,0.1901,19.082,38.202,57.4741,38.3921
ID1451025862,train/ID1451025862.jpg,2015/11/10,Tas,Ryegrass_Clover,0.53,2.8333,5.3,4.3,6.9,16.5,12.2
ID1456861072,train/ID1456861072.jpg,2015/6/26,Tas,Ryegrass_Clover,0.37,1.0,0.4,6.0,1.0,7.4,1.4
ID1457700382,train/ID1457700382.jpg,2015/4/1,NSW,Lucerne,0.7,30.0,0.0,0.0,24.8,24.8,24.8
ID1458758610,train/ID1458758610.jpg,2015/10/6,NSW,Fescue,0.49,9.3333,0.0,50.2255,52.4745,102.7,52.4745
ID1463690813,train/ID1463690813.jpg,2015/4/1,NSW,Lucerne,0.84,35.0,0.0,0.0,58.2,58.2,58.2
ID146920896,train/ID146920896.jpg,2015/5/19,Tas,Ryegrass_Clover,0.36,2.0,0.5,0.4,6.6,7.5,7.1
ID1471216911,train/ID1471216911.jpg,2015/9/30,Vic,Phalaris_Clover,0.85,16.0,67.8977,11.4857,28.8667,108.25,96.7643
ID1472525822,train/ID1472525822.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.7,7.0,0.0,16.4891,30.3109,46.8,30.3109
ID1473228876,train/ID1473228876.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.72,8.0,0.0,10.0135,28.0865,38.1,28.0865
ID1474775613,train/ID1474775613.jpg,2015/5/18,Tas,Ryegrass,0.86,10.0,0.0,5.3604,44.3447,49.7051,44.3447
ID147528735,train/ID147528735.jpg,2015/1/15,NSW,Lucerne,0.74,52.0,0.0,3.0,53.5,56.5,53.5
ID1476045099,train/ID1476045099.jpg,2015/8/14,Vic,Ryegrass_Clover,0.77,4.0,6.7778,3.3889,20.3333,30.5,27.1111
ID1477176296,train/ID1477176296.jpg,2015/8/14,Vic,Ryegrass_Clover,0.77,4.0,1.8308,1.8308,20.1385,23.8,21.9692
ID1488408526,train/ID1488408526.jpg,2015/2/25,NSW,Fescue,0.48,6.0,0.0,9.8969,28.5031,38.4,28.5031
ID1496750796,train/ID1496750796.jpg,2015/8/14,Vic,Ryegrass_Clover,0.68,2.0,1.7727,5.3182,12.4091,19.5,14.1818
ID1498398599,train/ID1498398599.jpg,2015/9/4,Tas,Clover,0.36,2.1667,11.0375,5.6471,1.2834,17.9681,12.321
ID1509266870,train/ID1509266870.jpg,2015/8/14,Vic,Ryegrass_Clover,0.77,4.0,2.775,2.775,27.75,33.3,30.525
ID1510574031,train/ID1510574031.jpg,2015/10/14,Vic,Phalaris_Clover_Ryegrass_Barleygrass_Bromegrass,0.51,5.1667,7.2336,14.4672,19.4992,41.2,26.7328
ID1512751450,train/ID1512751450.jpg,2015/9/11,Tas,Ryegrass,0.77,3.8333,0.3786,9.6678,19.656,29.7024,20.0346
ID1513184765,train/ID1513184765.jpg,2015/6/26,Tas,Ryegrass_Clover,0.41,1.0,0.0,5.0118,6.1574,11.1692,6.1574
ID1515990019,train/ID1515990019.jpg,2015/9/3,Tas,Ryegrass_Clover,0.41,2.1667,0.0,1.3,11.9,13.2,11.9
ID1516374298,train/ID1516374298.jpg,2015/7/8,WA,Clover,0.3,1.0,9.0,0.0,1.7,10.7,10.7
ID152157478,train/ID152157478.jpg,2015/9/29,Vic,Ryegrass_Clover,0.84,17.0,35.1643,7.9034,64.3724,107.44,99.5366
ID1525817840,train/ID1525817840.jpg,2015/8/18,Vic,Phalaris_Clover,0.72,3.8,7.7677,32.3656,20.0667,60.2,27.8344
ID1540480250,train/ID1540480250.jpg,2015/2/24,NSW,Phalaris,0.58,20.0,0.0,3.6485,116.7515,120.4,116.7515
ID1545077474,train/ID1545077474.jpg,2015/11/9,Tas,Ryegrass_Clover,0.4,3.5,0.0,19.2,8.8,28.0,8.8
ID1547945326,train/ID1547945326.jpg,2015/9/3,Tas,Ryegrass_Clover,0.74,2.1667,6.2816,4.2493,10.7156,21.2465,16.9972
ID1559189397,train/ID1559189397.jpg,2015/5/7,NSW,Lucerne,0.56,23.0,0.0,1.0805,22.4195,23.5,22.4195
ID1563418511,train/ID1563418511.jpg,2015/2/24,NSW,Phalaris,0.7,34.0,0.0,4.5904,107.1096,111.7,107.1096
ID1570190541,train/ID1570190541.jpg,2015/11/9,Tas,Clover,0.55,2.3333,16.6157,7.8376,0.1568,24.61,16.7724
ID1573329652,train/ID1573329652.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.61,6.0,0.0,19.2015,22.2985,41.5,22.2985
ID1574125908,train/ID1574125908.jpg,2015/2/24,NSW,Ryegrass,0.42,7.0,0.0,3.5379,43.1621,46.7,43.1621
ID157479394,train/ID157479394.jpg,2015/2/24,NSW,Phalaris,0.69,37.0,0.0,4.8579,129.3421,134.2,129.3421
ID1579942839,train/ID1579942839.jpg,2015/9/4,Tas,Clover,0.66,2.5,14.886,2.6661,3.3327,20.8848,18.2186
ID158170916,train/ID158170916.jpg,2015/11/10,Tas,Ryegrass_Clover,0.91,8.8333,5.3547,33.0205,69.6107,107.9859,74.9654
ID1590632667,train/ID1590632667.jpg,2015/11/9,Tas,Ryegrass_Clover,0.7,3.8333,3.1807,24.2887,31.2284,58.6978,34.4091
ID1618145129,train/ID1618145129.jpg,2015/11/10,Tas,Ryegrass_Clover,0.84,4.1667,0.0,10.3826,37.1257,47.5083,37.1257
ID1618597318,train/ID1618597318.jpg,2015/9/3,Tas,Ryegrass_Clover,0.65,2.1667,1.1195,2.239,33.0259,36.3845,34.1454
ID1620371305,train/ID1620371305.jpg,2015/9/30,Vic,Phalaris_Clover,0.79,10.0,17.0913,6.4092,57.0895,80.59,74.1808
ID162394992,train/ID162394992.jpg,2015/2/24,NSW,Ryegrass,0.61,9.0,0.0,1.8459,47.2541,49.1,47.2541
ID1623964968,train/ID1623964968.jpg,2015/11/9,Tas,Ryegrass_Clover,0.44,2.3333,10.0977,21.4983,19.5439,51.1398,29.6415
ID1624268863,train/ID1624268863.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.56,4.0,0.0,10.168,22.932,33.1,22.932
ID1634731537,train/ID1634731537.jpg,2015/11/9,Tas,Clover,0.64,3.3333,19.9619,6.8619,0.0,26.8238,19.9619
ID1638922597,train/ID1638922597.jpg,2015/6/29,Tas,WhiteClover,0.65,3.0,10.5353,21.3479,0.2772,32.1605,10.8126
ID1645161155,train/ID1645161155.jpg,2015/9/4,Tas,Ryegrass_Clover,0.7,4.5,0.0,40.6841,19.0515,59.7356,19.0516
ID1655778545,train/ID1655778545.jpg,2015/5/7,NSW,Fescue,0.62,5.0,0.0,17.0357,30.6643,47.7,30.6643
ID1665142816,train/ID1665142816.jpg,2015/7/1,Vic,Phalaris_Clover,0.73,4.0,3.7714,4.7143,24.5143,33.0,28.2857
ID1667778338,train/ID1667778338.jpg,2015/8/14,Vic,Ryegrass_Clover,0.77,5.0,3.9,9.75,29.25,42.9,33.15
ID1671844336,train/ID1671844336.jpg,2015/6/26,Tas,Ryegrass_Clover,0.68,3.0,0.8024,8.4248,12.0354,21.2625,12.8377
ID1675365449,train/ID1675365449.jpg,2015/9/30,Vic,Phalaris_Clover,0.79,16.0,1.4833,12.2372,89.7395,103.46,91.2228
ID1680597197,train/ID1680597197.jpg,2015/2/25,NSW,Fescue,0.69,12.0,0.0,8.6171,84.1829,92.8,84.1829
ID1692894460,train/ID1692894460.jpg,2015/11/9,Tas,Clover,0.69,3.5,30.1768,14.7741,0.3143,45.2652,30.4912
ID1693880739,train/ID1693880739.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.85,4.0,0.0,4.7385,30.4615,35.2,30.4615
ID1703304524,train/ID1703304524.jpg,2015/11/10,Tas,Ryegrass_Clover,0.86,7.0,2.5821,46.4778,47.7689,96.8288,50.351
ID1717006117,train/ID1717006117.jpg,2015/10/14,Vic,Phalaris_Clover_Ryegrass_Barleygrass_Bromegrass,0.57,6.1667,18.0129,18.9135,32.8735,69.8,50.8865
ID1729002155,train/ID1729002155.jpg,2015/10/6,NSW,Fescue,0.34,5.6667,0.0,20.7462,19.8538,40.6,19.8538
ID1746343319,train/ID1746343319.jpg,2015/11/9,Tas,Ryegrass_Clover,0.35,2.5,0.6,18.0,6.9,25.5,7.5
ID1753847361,train/ID1753847361.jpg,2015/9/30,Vic,Phalaris_Clover,0.83,17.0,34.9938,3.5437,51.2725,89.81,86.2663
ID1761544403,train/ID1761544403.jpg,2015/8/21,WA,Clover,0.54,1.0,32.64,0.0,0.0,32.64,32.64
ID1781353117,train/ID1781353117.jpg,2015/5/18,Tas,Ryegrass,0.69,4.0,1.7583,11.0291,15.185,27.9724,16.9433
ID1782509721,train/ID1782509721.jpg,2015/10/6,NSW,Fescue,0.39,8.0,0.0,26.2626,30.1374,56.4,30.1374
ID1782608354,train/ID1782608354.jpg,2015/9/1,WA,Ryegrass,0.81,17.0,0.07,0.0,72.1,72.17,72.17
ID1783499590,train/ID1783499590.jpg,2015/6/26,Vic,Ryegrass,0.8,5.5,1.1385,18.2154,13.6615,33.0154,14.8
ID1784585001,train/ID1784585001.jpg,2015/11/9,Tas,Clover,0.8,4.5,35.0394,12.3111,3.788,51.1386,38.8275
ID1789265307,train/ID1789265307.jpg,2015/11/9,Tas,Clover,0.87,7.1667,69.8783,19.3509,1.0751,90.3042,70.9533
ID1789834546,train/ID1789834546.jpg,2015/10/14,Vic,Phalaris_Clover_Ryegrass_Barleygrass_Bromegrass,0.52,4.1667,6.5244,14.8756,21.4,42.8,27.9244
ID1789853061,train/ID1789853061.jpg,2015/8/18,Vic,Phalaris_Clover,0.87,5.2,12.9283,7.5415,36.6302,57.1,49.5585
ID1831254380,train/ID1831254380.jpg,2015/11/9,Tas,Clover,0.84,5.3333,71.7865,15.758,0.8754,88.42,72.662
ID1839139621,train/ID1839139621.jpg,2015/5/18,Tas,Ryegrass,0.8,8.0,0.0,10.3894,31.5263,41.9157,31.5264
ID1853508321,train/ID1853508321.jpg,2015/9/3,Tas,Ryegrass_Clover,0.45,1.6667,0.0,1.1786,28.5232,29.7018,28.5232
ID1857489997,train/ID1857489997.jpg,2015/7/1,Vic,Phalaris_Clover,0.66,3.0,2.3478,2.3478,13.3043,18.0,15.6522
ID1859251563,train/ID1859251563.jpg,2015/1/15,NSW,Lucerne,0.83,70.0,0.0,6.9,119.6,126.5,119.6
ID1859792585,train/ID1859792585.jpg,2015/5/18,Tas,Ryegrass,0.62,4.0,0.7708,30.83,22.6087,54.2095,23.3794
ID1868719645,train/ID1868719645.jpg,2015/7/2,Vic,Ryegrass_Clover,0.77,4.0,4.8348,2.4174,20.5478,27.8,25.3826
ID187238869,train/ID187238869.jpg,2015/9/29,Vic,Ryegrass_Clover,0.75,4.0,11.8881,2.972,28.9098,43.77,40.798
ID1874904894,train/ID1874904894.jpg,2015/10/13,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.3,3.0,0.0,29.1542,4.1458,33.3,4.1458
ID1876271942,train/ID1876271942.jpg,2015/2/24,NSW,Ryegrass,0.68,10.0,0.0,8.3614,47.9386,56.3,47.9386
ID1880764911,train/ID1880764911.jpg,2015/5/18,Tas,Ryegrass,0.52,5.0,5.9821,21.9343,15.1546,43.0709,21.1367
ID1888700589,train/ID1888700589.jpg,2015/7/8,WA,Clover,0.64,2.0,1.62,0.0,20.9,22.52,22.52
ID1889150649,train/ID1889150649.jpg,2015/9/1,WA,SubcloverLosa,0.32,1.0,2.48,0.0,0.0,2.48,2.48
ID1894998379,train/ID1894998379.jpg,2015/10/13,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.42,4.3,13.4778,35.0985,8.4236,57.0,21.9015
ID1899025384,train/ID1899025384.jpg,2015/6/26,Tas,Ryegrass_Clover,0.7,4.0,0.4133,8.6803,11.1604,20.254,11.5737
ID1920959057,train/ID1920959057.jpg,2015/7/2,Vic,Ryegrass_Clover,0.74,3.0,3.5619,2.6714,12.4667,18.7,16.0286
ID193102215,train/ID193102215.jpg,2015/4/1,NSW,Lucerne,0.66,32.0,0.0,0.0,22.8,22.8,22.8
ID1946311744,train/ID1946311744.jpg,2015/9/29,Vic,Ryegrass_Clover,0.83,8.0,28.5594,2.8017,40.3989,71.76,68.9583
ID194823383,train/ID194823383.jpg,2015/7/8,WA,Clover,0.66,3.0,4.91,0.0,20.8,25.71,25.71
ID1948354837,train/ID1948354837.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.63,5.0,0.0,14.4659,19.0341,33.5,19.0341
ID1952813879,train/ID1952813879.jpg,2015/6/26,Vic,Ryegrass,0.68,3.5,0.5875,8.225,3.525,12.3375,4.1125
ID1953171547,train/ID1953171547.jpg,2015/9/4,Tas,Ryegrass_Clover,0.44,5.5,0.692,58.7479,15.989,75.4289,16.681
ID1953218650,train/ID1953218650.jpg,2015/11/10,Tas,Ryegrass_Clover,0.5,3.1667,3.8,5.2,6.7,15.7,10.5
ID1954669045,train/ID1954669045.jpg,2015/6/30,Vic,Phalaris_Clover,0.78,2.8,6.859,10.469,18.772,36.1,25.631
ID1962197151,train/ID1962197151.jpg,2015/4/1,NSW,Lucerne,0.72,35.0,0.0,0.0,22.0,22.0,22.0
ID1962379474,train/ID1962379474.jpg,2015/11/10,Tas,Ryegrass_Clover,0.55,5.1667,1.4451,40.1734,17.341,58.9595,18.7861
ID1963715583,train/ID1963715583.jpg,2015/7/8,WA,Clover,0.16,1.0,0.34,0.0,0.7,1.04,1.04
ID196516535,train/ID196516535.jpg,2015/5/18,Tas,Ryegrass,0.45,3.0,0.5231,24.8461,9.0231,34.3923,9.5462
ID1970522802,train/ID1970522802.jpg,2015/5/7,NSW,Fescue,0.55,4.0,0.0,13.5089,32.8911,46.4,32.8911
ID1976436386,train/ID1976436386.jpg,2015/10/14,Vic,Phalaris_Clover_Ryegrass_Barleygrass_Bromegrass,0.52,6.0,7.9555,25.2703,26.6742,59.9,34.6297
ID1980675327,train/ID1980675327.jpg,2015/6/26,Tas,Ryegrass_Clover,0.59,1.0,2.6598,9.0024,14.7312,26.3934,17.391
ID1982662138,train/ID1982662138.jpg,2015/4/1,NSW,Lucerne,0.79,33.0,0.0,1.1594,35.9406,37.1,35.9406
ID1988033238,train/ID1988033238.jpg,2015/8/18,Vic,Phalaris_Clover,0.76,3.2,4.8803,12.4718,21.1479,38.5,26.0282
ID1989506559,train/ID1989506559.jpg,2015/11/10,Tas,Ryegrass_Clover,0.8,4.3333,15.202,8.1077,28.377,51.6867,43.579
ID1993907137,train/ID1993907137.jpg,2015/5/18,Tas,Ryegrass,0.5,3.0,0.1834,12.8356,15.9528,28.9718,16.1362
ID1997244125,train/ID1997244125.jpg,2015/6/26,Tas,Ryegrass_Clover,0.4,3.0,0.0,46.0672,4.1536,50.2208,4.1536
ID2002797732,train/ID2002797732.jpg,2015/7/1,Vic,Phalaris_Clover,0.66,2.0,0.55,3.3,9.35,13.2,9.9
ID2003438517,train/ID2003438517.jpg,2015/7/2,Vic,Ryegrass_Clover,0.74,4.0,5.2,2.08,13.52,20.8,18.72
ID2006686196,train/ID2006686196.jpg,2015/10/14,Vic,Phalaris_Clover_Ryegrass_Barleygrass_Bromegrass,0.46,9.3333,0.0,38.8581,28.0419,66.9,28.0419
